station,valid,tmpf,dwpf,sknt,drct,alti,p01i,vsby,skyc1
LGA,2026-01-01 00:51,31.00,11.00,10.00,230.00,29.76,0.00,10.00,FEW
LGA,2026-01-01 01:51,32.00,11.00,9.00,220.00,29.74,0.00,10.00,BKN
LGA,2026-01-01 02:51,32.00,12.00,9.00,200.00,29.71,T,10.00,BKN
LGA,2026-01-01 03:51,32.00,15.00,9.00,220.00,29.69,T,9.00,FEW
LGA,2026-01-01 04:51,32.00,13.00,10.00,190.00,29.65,T,9.00,FEW
LGA,2026-01-01 05:51,33.00,14.00,11.00,200.00,29.61,T,9.00,BKN
LGA,2026-01-01 06:51,33.00,17.00,8.00,210.00,29.59,T,10.00,OVC
LGA,2026-01-01 07:51,34.00,17.00,10.00,210.00,29.58,0.00,10.00,OVC
LGA,2026-01-01 08:51,35.00,18.00,11.00,210.00,29.55,0.00,10.00,OVC
LGA,2026-01-01 09:51,36.00,19.00,9.00,210.00,29.52,0.00,10.00,BKN
LGA,2026-01-01 10:51,36.00,20.00,10.00,230.00,29.52,0.00,10.00,SCT
LGA,2026-01-01 11:51,29.00,21.00,23.00,300.00,29.62,T,1.50,SCT
LGA,2026-01-01 12:51,27.00,15.00,20.00,310.00,29.66,T,10.00,SCT
LGA,2026-01-01 13:51,26.00,12.00,22.00,310.00,29.71,0.00,10.00,SCT
LGA,2026-01-01 14:51,25.00,6.00,17.00,310.00,29.75,0.00,10.00,FEW
LGA,2026-01-01 15:51,26.00,4.00,22.00,310.00,29.76,0.00,10.00,FEW
LGA,2026-01-01 16:51,27.00,4.00,24.00,290.00,29.76,0.00,10.00,FEW
LGA,2026-01-01 17:51,27.00,0.00,22.00,290.00,29.76,0.00,10.00,SCT
LGA,2026-01-01 18:51,27.00,0.00,20.00,300.00,29.77,0.00,10.00,SCT
LGA,2026-01-01 19:51,27.00,-1.00,20.00,290.00,29.79,0.00,10.00,FEW
LGA,2026-01-01 20:51,26.00,0.00,18.00,300.00,29.81,0.00,10.00,FEW
LGA,2026-01-01 21:51,25.00,-1.00,20.00,300.00,29.84,0.00,10.00,FEW
LGA,2026-01-01 22:51,25.00,1.00,14.00,310.00,29.87,0.00,10.00,FEW
LGA,2026-01-01 23:51,24.00,1.00,12.00,320.00,29.88,0.00,10.00,FEW
LGA,2026-01-02 00:51,24.00,-1.00,12.00,300.00,29.89,0.00,10.00,FEW
LGA,2026-01-02 01:51,23.00,-1.00,7.00,300.00,29.89,0.00,10.00,FEW
LGA,2026-01-02 02:51,23.00,0.00,8.00,280.00,29.89,0.00,10.00,FEW
LGA,2026-01-02 03:51,24.00,1.00,7.00,250.00,29.88,0.00,10.00,BKN
LGA,2026-01-02 04:51,23.00,2.00,11.00,250.00,29.87,0.00,10.00,BKN
LGA,2026-01-02 05:51,23.00,4.00,14.00,290.00,29.86,0.00,10.00,OVC
LGA,2026-01-02 06:51,21.00,7.00,13.00,290.00,29.85,T,4.00,FEW
LGA,2026-01-02 07:51,21.00,8.00,10.00,260.00,29.85,T,8.00,SCT
LGA,2026-01-02 08:51,21.00,9.00,11.00,250.00,29.83,T,9.00,FEW
LGA,2026-01-02 09:51,21.00,8.00,9.00,260.00,29.81,T,9.00,FEW
LGA,2026-01-02 10:51,22.00,8.00,11.00,270.00,29.81,T,9.00,BKN
LGA,2026-01-02 11:51,22.00,8.00,12.00,250.00,29.82,T,10.00,BKN
LGA,2026-01-02 12:51,23.00,8.00,14.00,260.00,29.81,0.00,10.00,FEW
LGA,2026-01-02 13:51,24.00,9.00,10.00,260.00,29.82,0.00,10.00,OVC
LGA,2026-01-02 14:51,24.00,8.00,13.00,250.00,29.82,0.00,10.00,OVC
LGA,2026-01-02 15:51,26.00,9.00,11.00,290.00,29.79,0.00,10.00,OVC
LGA,2026-01-02 16:51,27.00,9.00,8.00,270.00,29.76,0.00,10.00,FEW
LGA,2026-01-02 17:51,28.00,9.00,11.00,270.00,29.74,0.00,10.00,FEW
LGA,2026-01-02 18:51,29.00,8.00,10.00,260.00,29.72,0.00,10.00,SCT
LGA,2026-01-02 19:51,30.00,8.00,14.00,270.00,29.73,0.00,10.00,SCT
LGA,2026-01-02 20:51,30.00,10.00,16.00,290.00,29.75,0.00,10.00,SCT
LGA,2026-01-02 21:51,30.00,11.00,11.00,290.00,29.76,0.00,10.00,SCT
LGA,2026-01-02 22:51,30.00,10.00,17.00,310.00,29.78,0.00,10.00,SCT
LGA,2026-01-02 23:51,29.00,9.00,13.00,310.00,29.80,0.00,10.00,SCT
LGA,2026-01-03 00:51,28.00,10.00,7.00,290.00,29.82,0.00,10.00,SCT
