station,valid,tmpf,dwpf,sknt,drct,alti,p01i,vsby,skyc1
NYC,2026-01-01 00:51,30.00,13.00,6.00,M,29.77,0.00,10.00,SCT
NYC,2026-01-01 01:51,32.00,14.00,6.00,M,29.75,0.00,10.00,BKN
NYC,2026-01-01 02:51,32.00,15.00,4.00,M,29.72,0.00,9.00,OVC
NYC,2026-01-01 03:51,32.00,18.00,3.00,200.00,29.70,T,10.00,SCT
NYC,2026-01-01 04:51,33.00,17.00,M,M,29.65,0.00,10.00,FEW
NYC,2026-01-01 05:51,33.00,18.00,3.00,M,29.62,0.00,10.00,BKN
NYC,2026-01-01 06:51,33.00,19.00,M,M,29.61,0.00,10.00,OVC
NYC,2026-01-01 07:51,34.00,20.00,4.00,M,29.59,0.00,10.00,OVC
NYC,2026-01-01 08:51,35.00,20.00,5.00,M,29.57,0.00,10.00,OVC
NYC,2026-01-01 09:51,36.00,21.00,M,M,29.53,0.00,10.00,OVC
NYC,2026-01-01 10:51,36.00,22.00,M,M,29.54,0.00,9.00,FEW
NYC,2026-01-01 11:51,27.00,21.00,7.00,300.00,29.65,0.02,1.00,BKN
NYC,2026-01-01 12:51,25.00,9.00,13.00,290.00,29.68,T,10.00,FEW
NYC,2026-01-01 13:51,24.00,7.00,12.00,310.00,29.73,0.00,10.00,CLR
NYC,2026-01-01 14:51,24.00,2.00,11.00,300.00,29.76,0.00,10.00,CLR
NYC,2026-01-01 15:51,25.00,2.00,5.00,M,29.77,0.00,10.00,CLR
NYC,2026-01-01 16:51,26.00,1.00,15.00,310.00,29.78,0.00,10.00,CLR
NYC,2026-01-01 17:51,27.00,0.00,13.00,310.00,29.77,0.00,10.00,CLR
NYC,2026-01-01 18:51,26.00,-1.00,15.00,280.00,29.79,0.00,10.00,CLR
NYC,2026-01-01 19:51,26.00,-1.00,M,M,29.80,0.00,10.00,CLR
NYC,2026-01-01 20:51,26.00,0.00,M,M,29.82,0.00,10.00,CLR
NYC,2026-01-01 21:51,25.00,-2.00,10.00,290.00,29.86,0.00,10.00,CLR
NYC,2026-01-01 22:51,24.00,0.00,7.00,290.00,29.88,0.00,10.00,CLR
NYC,2026-01-01 23:51,23.00,0.00,5.00,M,29.89,0.00,10.00,CLR
NYC,2026-01-02 00:51,23.00,0.00,7.00,300.00,29.90,0.00,10.00,CLR
NYC,2026-01-02 01:51,22.00,2.00,5.00,270.00,29.90,0.00,10.00,CLR
NYC,2026-01-02 02:51,22.00,2.00,7.00,290.00,29.90,0.00,10.00,CLR
NYC,2026-01-02 03:51,23.00,4.00,M,M,29.89,0.00,10.00,OVC
NYC,2026-01-02 04:51,23.00,5.00,6.00,M,29.88,0.00,10.00,BKN
NYC,2026-01-02 05:51,22.00,5.00,6.00,M,29.87,0.00,10.00,BKN
NYC,2026-01-02 06:51,21.00,10.00,6.00,270.00,29.86,T,4.00,OVC
NYC,2026-01-02 07:51,21.00,11.00,5.00,M,29.86,T,9.00,FEW
NYC,2026-01-02 08:51,21.00,10.00,M,M,29.84,0.00,10.00,FEW
NYC,2026-01-02 09:51,21.00,11.00,4.00,M,29.82,0.00,10.00,OVC
NYC,2026-01-02 10:51,21.00,10.00,0.00,0.00,29.82,0.00,10.00,FEW
NYC,2026-01-02 11:51,22.00,10.00,4.00,240.00,29.83,0.00,10.00,OVC
NYC,2026-01-02 12:51,22.00,10.00,M,M,29.82,0.00,10.00,OVC
NYC,2026-01-02 13:51,23.00,10.00,6.00,M,29.83,0.00,10.00,OVC
NYC,2026-01-02 14:51,24.00,11.00,6.00,260.00,29.83,0.00,10.00,OVC
NYC,2026-01-02 15:51,25.00,11.00,4.00,M,29.80,0.00,10.00,OVC
NYC,2026-01-02 16:51,27.00,11.00,9.00,230.00,29.77,0.00,10.00,OVC
NYC,2026-01-02 17:51,29.00,11.00,3.00,M,29.75,0.00,10.00,OVC
NYC,2026-01-02 18:51,30.00,10.00,M,M,29.73,0.00,10.00,OVC
NYC,2026-01-02 19:51,30.00,10.00,6.00,M,29.74,0.00,10.00,FEW
NYC,2026-01-02 20:51,30.00,12.00,5.00,M,29.76,0.00,10.00,OVC
NYC,2026-01-02 21:51,29.00,13.00,5.00,270.00,29.77,0.00,10.00,FEW
NYC,2026-01-02 22:51,29.00,8.00,10.00,310.00,29.80,0.00,10.00,BKN
NYC,2026-01-02 23:51,28.00,10.00,5.00,M,29.82,0.00,10.00,SCT
NYC,2026-01-03 00:51,28.00,11.00,5.00,280.00,29.83,0.00,10.00,BKN
NYC,2026-01-03 01:51,28.00,13.00,5.00,270.00,29.85,0.00,10.00,FEW
NYC,2026-01-03 02:51,28.00,14.00,M,M,29.87,0.00,10.00,OVC
NYC,2026-01-03 03:51,27.00,6.00,6.00,M,29.88,0.00,10.00,SCT
NYC,2026-01-03 04:51,26.00,5.00,9.00,310.00,29.89,0.00,10.00,CLR
NYC,2026-01-03 05:51,26.00,5.00,6.00,280.00,29.89,0.00,10.00,CLR
NYC,2026-01-03 06:51,25.00,4.00,4.00,260.00,29.91,0.00,10.00,CLR
NYC,2026-01-03 07:51,25.00,4.00,6.00,M,29.92,0.00,10.00,CLR
NYC,2026-01-03 08:51,24.00,4.00,8.00,270.00,29.92,0.00,10.00,CLR
NYC,2026-01-03 09:51,24.00,5.00,6.00,280.00,29.93,0.00,10.00,CLR
NYC,2026-01-03 10:51,24.00,5.00,5.00,290.00,29.94,0.00,10.00,CLR
NYC,2026-01-03 11:51,23.00,6.00,8.00,280.00,29.97,0.00,10.00,CLR
NYC,2026-01-03 12:51,23.00,5.00,4.00,M,29.98,0.00,10.00,CLR
NYC,2026-01-03 13:51,24.00,5.00,3.00,M,30.00,0.00,10.00,CLR
NYC,2026-01-03 14:51,25.00,5.00,M,M,30.01,0.00,10.00,CLR
NYC,2026-01-03 15:51,27.00,5.00,6.00,M,30.00,0.00,10.00,CLR
NYC,2026-01-03 16:51,28.00,7.00,M,M,29.99,0.00,10.00,CLR
NYC,2026-01-03 17:51,28.00,6.00,9.00,290.00,29.98,0.00,10.00,CLR
NYC,2026-01-03 18:51,28.00,7.00,6.00,M,29.98,0.00,10.00,CLR
NYC,2026-01-03 19:51,30.00,8.00,5.00,290.00,29.97,0.00,10.00,CLR
NYC,2026-01-03 20:51,30.00,8.00,3.00,M,29.97,0.00,10.00,CLR
NYC,2026-01-03 21:51,30.00,9.00,4.00,M,29.99,0.00,10.00,CLR
NYC,2026-01-03 22:51,30.00,9.00,4.00,310.00,30.01,0.00,10.00,SCT
NYC,2026-01-03 23:51,30.00,10.00,6.00,300.00,30.01,0.00,10.00,SCT
NYC,2026-01-04 00:51,30.00,10.00,3.00,320.00,30.01,0.00,10.00,BKN
NYC,2026-01-04 01:51,30.00,10.00,3.00,310.00,30.01,0.00,10.00,BKN
NYC,2026-01-04 02:51,29.00,11.00,3.00,M,30.01,0.00,10.00,CLR
NYC,2026-01-04 03:51,28.00,11.00,0.00,0.00,30.01,0.00,10.00,CLR
NYC,2026-01-04 04:51,28.00,11.00,3.00,270.00,29.99,0.00,10.00,OVC
NYC,2026-01-04 05:51,28.00,12.00,6.00,310.00,30.00,0.00,10.00,OVC
NYC,2026-01-04 06:51,28.00,11.00,M,M,30.01,0.00,10.00,SCT
NYC,2026-01-04 07:51,28.00,11.00,M,M,30.01,0.00,10.00,OVC
NYC,2026-01-04 08:51,28.00,12.00,6.00,300.00,30.01,0.00,10.00,OVC
NYC,2026-01-04 09:51,26.00,17.00,7.00,300.00,30.02,T,6.00,BKN
NYC,2026-01-04 10:51,26.00,18.00,5.00,290.00,30.03,T,6.00,BKN
NYC,2026-01-04 11:51,26.00,18.00,3.00,M,30.04,0.00,10.00,OVC
NYC,2026-01-04 12:51,26.00,18.00,5.00,M,30.06,0.00,10.00,CLR
NYC,2026-01-04 13:51,26.00,18.00,4.00,320.00,30.08,0.00,10.00,CLR
NYC,2026-01-04 14:51,28.00,19.00,0.00,0.00,30.09,0.00,10.00,CLR
NYC,2026-01-04 15:51,30.00,18.00,4.00,M,30.09,0.00,10.00,FEW
NYC,2026-01-04 16:51,32.00,17.00,5.00,M,30.06,0.00,10.00,CLR
NYC,2026-01-04 17:51,33.00,14.00,0.00,0.00,30.06,0.00,10.00,CLR
NYC,2026-01-04 18:51,34.00,15.00,8.00,280.00,30.07,0.00,10.00,BKN
NYC,2026-01-04 19:51,33.00,15.00,9.00,290.00,30.09,0.00,10.00,FEW
NYC,2026-01-04 20:51,31.00,14.00,7.00,320.00,30.10,0.00,10.00,SCT
NYC,2026-01-04 21:51,31.00,14.00,4.00,M,30.12,0.00,10.00,OVC
NYC,2026-01-04 22:51,31.00,14.00,3.00,M,30.14,0.00,10.00,SCT
NYC,2026-01-04 23:51,31.00,14.00,3.00,M,30.14,0.00,10.00,SCT
NYC,2026-01-05 00:51,31.00,15.00,0.00,0.00,30.16,0.00,10.00,BKN
NYC,2026-01-05 01:51,32.00,15.00,5.00,250.00,30.17,0.00,10.00,OVC
NYC,2026-01-05 02:51,31.00,15.00,0.00,0.00,30.18,0.00,10.00,CLR
NYC,2026-01-05 03:51,31.00,16.00,3.00,M,30.18,0.00,10.00,BKN
NYC,2026-01-05 04:51,32.00,16.00,6.00,M,30.19,0.00,10.00,OVC
NYC,2026-01-05 05:51,31.00,15.00,6.00,300.00,30.19,0.00,10.00,BKN
NYC,2026-01-05 06:51,30.00,16.00,4.00,M,30.19,0.00,10.00,CLR
NYC,2026-01-05 07:51,30.00,15.00,5.00,280.00,30.20,0.00,10.00,CLR
NYC,2026-01-05 08:51,30.00,14.00,5.00,280.00,30.21,0.00,10.00,CLR
NYC,2026-01-05 09:51,30.00,14.00,3.00,M,30.22,0.00,10.00,CLR
NYC,2026-01-05 10:51,29.00,14.00,3.00,M,30.23,0.00,10.00,CLR
NYC,2026-01-05 11:51,30.00,14.00,0.00,0.00,30.24,0.00,10.00,CLR
NYC,2026-01-05 12:51,30.00,14.00,0.00,0.00,30.24,0.00,10.00,CLR
NYC,2026-01-05 13:51,31.00,15.00,0.00,0.00,30.24,0.00,10.00,BKN
NYC,2026-01-05 14:51,32.00,17.00,0.00,0.00,30.25,0.00,10.00,OVC
NYC,2026-01-05 15:51,33.00,16.00,5.00,170.00,30.23,0.00,10.00,BKN
NYC,2026-01-05 16:51,33.00,17.00,6.00,M,30.20,0.00,10.00,BKN
NYC,2026-01-05 17:51,35.00,16.00,5.00,M,30.17,0.00,10.00,FEW
NYC,2026-01-05 18:51,34.00,16.00,M,M,30.15,0.00,10.00,OVC
NYC,2026-01-05 19:51,34.00,17.00,5.00,M,30.14,0.00,10.00,BKN
NYC,2026-01-05 20:51,34.00,19.00,3.00,130.00,30.11,0.00,10.00,BKN
NYC,2026-01-05 21:51,35.00,21.00,6.00,M,30.09,0.00,10.00,OVC
NYC,2026-01-05 22:51,36.00,20.00,0.00,0.00,30.09,0.00,10.00,OVC
NYC,2026-01-05 23:51,37.00,21.00,0.00,0.00,30.07,0.00,10.00,OVC
NYC,2026-01-06 00:51,37.00,24.00,M,M,30.06,0.00,10.00,OVC
NYC,2026-01-06 01:51,38.00,26.00,4.00,240.00,30.05,0.00,10.00,OVC
NYC,2026-01-06 02:51,38.00,27.00,5.00,230.00,30.05,0.00,10.00,OVC
NYC,2026-01-06 03:51,38.00,28.00,3.00,M,30.02,0.00,10.00,BKN
NYC,2026-01-06 04:51,39.00,29.00,4.00,M,30.00,0.00,10.00,OVC
NYC,2026-01-06 05:51,38.00,28.00,3.00,280.00,29.99,0.00,10.00,OVC
NYC,2026-01-06 06:51,37.00,27.00,3.00,280.00,30.00,0.00,10.00,OVC
NYC,2026-01-06 07:51,36.00,26.00,4.00,300.00,30.00,0.00,10.00,BKN
NYC,2026-01-06 08:51,36.00,25.00,3.00,260.00,29.99,0.00,10.00,CLR
NYC,2026-01-06 09:51,36.00,25.00,0.00,0.00,29.99,0.00,9.00,CLR
NYC,2026-01-06 10:51,36.00,25.00,0.00,0.00,29.99,0.00,9.00,CLR
NYC,2026-01-06 11:51,38.00,25.00,0.00,0.00,29.99,0.00,9.00,CLR
NYC,2026-01-06 12:51,37.00,26.00,3.00,350.00,30.00,0.00,8.00,CLR
NYC,2026-01-06 13:51,38.00,27.00,0.00,0.00,30.00,0.00,7.00,CLR
NYC,2026-01-06 14:51,39.00,27.00,0.00,0.00,30.01,0.00,7.00,CLR
NYC,2026-01-06 15:51,41.00,26.00,5.00,M,29.98,0.00,7.00,CLR
NYC,2026-01-06 16:51,40.00,27.00,4.00,80.00,29.95,0.00,6.00,CLR
NYC,2026-01-06 17:51,41.00,27.00,3.00,100.00,29.92,0.00,6.00,CLR
NYC,2026-01-06 18:51,42.00,27.00,4.00,100.00,29.91,0.00,6.00,CLR
NYC,2026-01-06 19:51,40.00,28.00,6.00,60.00,29.89,0.00,6.00,CLR
NYC,2026-01-06 20:51,39.00,28.00,5.00,70.00,29.87,0.00,6.00,CLR
NYC,2026-01-06 21:51,38.00,29.00,4.00,M,29.86,0.00,7.00,CLR
NYC,2026-01-06 22:51,39.00,30.00,5.00,M,29.84,0.00,7.00,OVC
NYC,2026-01-06 23:51,39.00,31.00,5.00,M,29.83,0.00,7.00,OVC
NYC,2026-01-07 00:51,38.00,32.00,3.00,60.00,29.83,0.00,5.00,OVC
NYC,2026-01-07 01:51,38.00,34.00,4.00,M,29.79,T,1.75,OVC
NYC,2026-01-07 02:51,38.00,35.00,5.00,70.00,29.76,0.01,2.50,OVC
NYC,2026-01-07 03:51,38.00,35.00,8.00,60.00,29.74,0.00,3.00,OVC
NYC,2026-01-07 04:51,38.00,35.00,7.00,50.00,29.71,0.00,2.50,OVC
NYC,2026-01-07 05:51,37.00,35.00,7.00,60.00,29.69,T,2.00,OVC
NYC,2026-01-07 06:51,37.00,35.00,4.00,70.00,29.68,0.01,1.50,OVC
NYC,2026-01-07 07:51,37.00,35.00,3.00,40.00,29.68,0.00,0.75,OVC
NYC,2026-01-07 08:51,37.00,35.00,5.00,50.00,29.66,0.00,0.75,VV 
NYC,2026-01-07 09:51,37.00,35.00,3.00,50.00,29.65,0.00,1.00,OVC
NYC,2026-01-07 10:51,37.00,35.00,0.00,0.00,29.66,0.00,1.00,OVC
NYC,2026-01-07 11:51,38.00,35.00,0.00,0.00,29.67,0.00,2.00,OVC
NYC,2026-01-07 12:51,40.00,37.00,0.00,0.00,29.69,0.00,2.00,OVC
NYC,2026-01-07 13:51,41.00,37.00,5.00,250.00,29.70,0.00,4.00,CLR
NYC,2026-01-07 14:51,43.00,37.00,4.00,M,29.71,0.00,5.00,CLR
NYC,2026-01-07 15:51,48.00,36.00,12.00,270.00,29.72,0.00,10.00,BKN
NYC,2026-01-07 16:51,49.00,33.00,7.00,290.00,29.73,0.00,10.00,BKN
NYC,2026-01-07 17:51,48.00,32.00,11.00,300.00,29.75,0.00,10.00,BKN
NYC,2026-01-07 18:51,48.00,32.00,M,M,29.77,0.00,10.00,OVC
NYC,2026-01-07 19:51,49.00,33.00,5.00,M,29.80,0.00,10.00,OVC
NYC,2026-01-07 20:51,48.00,32.00,4.00,M,29.83,0.00,10.00,FEW
NYC,2026-01-07 21:51,47.00,31.00,7.00,270.00,29.88,0.00,10.00,OVC
NYC,2026-01-07 22:51,46.00,31.00,10.00,300.00,29.90,0.00,10.00,OVC
NYC,2026-01-07 23:51,45.00,32.00,6.00,M,29.93,0.00,10.00,BKN
NYC,2026-01-08 00:51,45.00,32.00,3.00,M,29.97,0.00,10.00,OVC
NYC,2026-01-08 01:51,45.00,32.00,9.00,300.00,30.00,0.00,10.00,OVC
NYC,2026-01-08 02:51,44.00,32.00,7.00,310.00,30.02,0.00,10.00,OVC
NYC,2026-01-08 03:51,43.00,32.00,4.00,M,30.01,0.00,10.00,FEW
NYC,2026-01-08 04:51,42.00,32.00,5.00,290.00,30.01,0.00,10.00,CLR
NYC,2026-01-08 05:51,42.00,32.00,7.00,290.00,30.01,0.00,10.00,CLR
NYC,2026-01-08 06:51,43.00,32.00,6.00,280.00,30.05,0.00,10.00,SCT
NYC,2026-01-08 07:51,43.00,32.00,7.00,310.00,30.08,0.00,10.00,OVC
NYC,2026-01-08 08:51,43.00,32.00,6.00,300.00,30.09,0.00,10.00,OVC
NYC,2026-01-08 09:51,43.00,32.00,6.00,300.00,30.10,0.00,10.00,OVC
NYC,2026-01-08 10:51,44.00,32.00,12.00,310.00,30.13,0.00,10.00,OVC
NYC,2026-01-08 11:51,43.00,31.00,6.00,M,30.14,0.00,10.00,FEW
NYC,2026-01-08 12:51,43.00,32.00,3.00,M,30.16,0.00,10.00,CLR
NYC,2026-01-08 13:51,44.00,32.00,5.00,M,30.18,0.00,10.00,CLR
NYC,2026-01-08 14:51,46.00,32.00,6.00,280.00,30.22,0.00,10.00,CLR
NYC,2026-01-08 15:51,47.00,31.00,M,M,30.22,0.00,10.00,CLR
NYC,2026-01-08 16:51,49.00,30.00,7.00,310.00,30.22,0.00,10.00,CLR
NYC,2026-01-08 17:51,49.00,30.00,4.00,M,30.22,0.00,10.00,CLR
NYC,2026-01-08 18:51,49.00,30.00,M,M,30.22,0.00,10.00,FEW
NYC,2026-01-08 19:51,49.00,30.00,6.00,270.00,30.22,0.00,10.00,CLR
NYC,2026-01-08 20:51,49.00,29.00,6.00,310.00,30.23,0.00,10.00,CLR
NYC,2026-01-08 21:51,48.00,29.00,3.00,310.00,30.25,0.00,10.00,CLR
NYC,2026-01-08 22:51,47.00,29.00,3.00,50.00,30.27,0.00,10.00,CLR
NYC,2026-01-08 23:51,47.00,29.00,3.00,30.00,30.30,0.00,10.00,CLR
NYC,2026-01-09 00:51,46.00,29.00,3.00,40.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 01:51,46.00,30.00,3.00,280.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 02:51,44.00,30.00,0.00,0.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 03:51,44.00,32.00,0.00,0.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 04:51,43.00,31.00,4.00,60.00,30.29,0.00,10.00,CLR
NYC,2026-01-09 05:51,42.00,32.00,0.00,0.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 06:51,42.00,32.00,0.00,0.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 07:51,41.00,33.00,4.00,130.00,30.31,0.00,10.00,CLR
NYC,2026-01-09 08:51,41.00,34.00,0.00,0.00,30.32,0.00,10.00,CLR
NYC,2026-01-09 09:51,41.00,34.00,0.00,0.00,30.32,0.00,10.00,CLR
NYC,2026-01-09 10:51,39.00,34.00,3.00,50.00,30.32,0.00,10.00,SCT
NYC,2026-01-09 11:51,40.00,34.00,M,M,30.31,0.00,10.00,CLR
NYC,2026-01-09 12:51,43.00,36.00,M,M,30.31,0.00,10.00,CLR
NYC,2026-01-09 13:51,45.00,37.00,M,M,30.30,0.00,10.00,CLR
NYC,2026-01-09 14:51,46.00,38.00,M,M,30.28,0.00,10.00,FEW
NYC,2026-01-09 15:51,48.00,38.00,M,M,30.26,0.00,10.00,FEW
NYC,2026-01-09 16:51,49.00,39.00,M,M,30.22,0.00,10.00,FEW
NYC,2026-01-09 17:51,48.00,40.00,M,M,30.19,0.00,10.00,OVC
NYC,2026-01-09 18:51,49.00,40.00,M,M,30.15,0.00,10.00,SCT
NYC,2026-01-09 19:51,49.00,41.00,M,M,30.13,0.00,10.00,BKN
NYC,2026-01-09 20:51,48.00,41.00,M,M,30.12,0.00,10.00,OVC
NYC,2026-01-09 21:51,48.00,42.00,M,M,30.09,T,10.00,BKN
NYC,2026-01-09 22:51,49.00,43.00,M,M,30.08,0.00,10.00,OVC
NYC,2026-01-09 23:51,49.00,45.00,M,M,30.05,0.01,10.00,OVC
NYC,2026-01-10 00:51,52.00,47.00,M,M,30.07,T,10.00,OVC
NYC,2026-01-10 01:51,53.00,47.00,M,M,30.08,0.00,10.00,OVC
NYC,2026-01-10 02:51,53.00,47.00,M,M,30.09,0.00,10.00,OVC
NYC,2026-01-10 03:51,53.00,48.00,M,M,30.11,0.00,8.00,OVC
NYC,2026-01-10 04:51,52.00,47.00,M,M,30.11,0.00,7.00,FEW
NYC,2026-01-10 05:51,52.00,46.00,M,M,30.14,0.00,7.00,CLR
NYC,2026-01-10 06:51,51.00,45.00,M,M,30.15,0.00,9.00,CLR
NYC,2026-01-10 07:51,50.00,39.00,M,M,30.18,0.00,10.00,CLR
NYC,2026-01-10 08:51,49.00,36.00,M,M,30.19,0.00,10.00,CLR
NYC,2026-01-10 09:51,47.00,34.00,M,M,30.20,0.00,10.00,CLR
NYC,2026-01-10 10:51,45.00,33.00,M,M,30.20,0.00,10.00,CLR
NYC,2026-01-10 11:51,44.00,32.00,M,M,30.22,0.00,10.00,CLR
NYC,2026-01-10 12:51,44.00,32.00,M,M,30.22,0.00,10.00,CLR
NYC,2026-01-10 13:51,43.00,30.00,M,M,30.23,0.00,10.00,CLR
NYC,2026-01-10 14:51,44.00,30.00,M,M,30.23,0.00,10.00,CLR
NYC,2026-01-10 15:51,44.00,31.00,M,M,30.23,0.00,10.00,CLR
NYC,2026-01-10 16:51,43.00,29.00,M,M,30.19,0.00,10.00,CLR
NYC,2026-01-10 17:51,42.00,30.00,M,M,30.16,T,10.00,FEW
NYC,2026-01-10 18:51,41.00,32.00,M,M,30.12,T,10.00,OVC
NYC,2026-01-10 19:51,41.00,34.00,M,M,30.12,0.02,4.00,OVC
NYC,2026-01-10 20:51,40.00,36.00,M,M,30.11,0.08,2.50,BKN
NYC,2026-01-10 21:51,39.00,35.00,M,M,30.06,0.09,6.00,BKN
NYC,2026-01-10 22:51,39.00,36.00,M,M,30.03,0.05,5.00,OVC
NYC,2026-01-10 23:51,40.00,37.00,M,M,29.96,0.01,6.00,OVC
NYC,2026-01-11 00:51,41.00,38.00,M,M,29.91,0.06,2.50,OVC
NYC,2026-01-11 01:51,41.00,38.00,M,M,29.87,0.05,3.00,OVC
NYC,2026-01-11 02:51,41.00,38.00,M,M,29.82,T,4.00,OVC
NYC,2026-01-11 03:51,41.00,38.00,M,M,29.77,0.01,6.00,OVC
NYC,2026-01-11 04:51,41.00,38.00,M,M,29.76,T,6.00,OVC
NYC,2026-01-11 05:51,42.00,39.00,M,M,29.77,T,4.00,OVC
NYC,2026-01-11 06:51,41.00,39.00,M,M,29.77,0.00,4.00,OVC
NYC,2026-01-11 07:51,42.00,39.00,M,M,29.77,0.00,8.00,BKN
NYC,2026-01-11 08:51,42.00,39.00,M,M,29.77,0.01,9.00,FEW
NYC,2026-01-11 09:51,42.00,39.00,M,M,29.81,T,10.00,FEW
NYC,2026-01-11 10:51,43.00,38.00,M,M,29.83,T,10.00,OVC
NYC,2026-01-11 11:51,43.00,38.00,M,M,29.83,0.00,10.00,OVC
NYC,2026-01-11 12:51,44.00,38.00,M,M,29.83,0.00,10.00,BKN
NYC,2026-01-11 13:51,44.00,37.00,M,M,29.84,0.00,10.00,FEW
NYC,2026-01-11 14:51,44.00,31.00,M,M,29.84,0.00,10.00,OVC
NYC,2026-01-11 15:51,44.00,29.00,M,M,29.84,0.00,10.00,FEW
NYC,2026-01-11 16:51,46.00,26.00,M,M,29.78,0.00,10.00,SCT
NYC,2026-01-11 17:51,46.00,26.00,M,M,29.76,0.00,10.00,FEW
NYC,2026-01-11 18:51,47.00,22.00,M,M,29.75,0.00,10.00,SCT
NYC,2026-01-11 19:51,45.00,22.00,M,M,29.78,0.00,10.00,BKN
NYC,2026-01-11 20:51,43.00,20.00,M,M,29.80,0.00,10.00,FEW
NYC,2026-01-11 21:51,42.00,21.00,11.00,280.00,29.81,0.00,10.00,SCT
NYC,2026-01-11 22:51,37.00,27.00,8.00,280.00,29.87,0.00,10.00,SCT
NYC,2026-01-11 23:51,36.00,26.00,6.00,M,29.88,T,10.00,FEW
NYC,2026-01-12 00:51,37.00,19.00,11.00,270.00,29.90,0.00,10.00,CLR
NYC,2026-01-12 01:51,36.00,17.00,11.00,290.00,29.93,0.00,10.00,CLR
NYC,2026-01-12 02:51,36.00,18.00,14.00,270.00,29.95,0.00,10.00,FEW
NYC,2026-01-12 03:51,35.00,16.00,10.00,290.00,29.98,0.00,10.00,BKN
NYC,2026-01-12 04:51,34.00,14.00,12.00,290.00,30.01,0.00,10.00,BKN
