station,valid,tmpf,dwpf,sknt,drct,alti,p01i,vsby,skyc1
MDW,2022-01-01 00:53,46.00,41.00,7.00,20.00,29.64,0.00,4.00,BKN
MDW,2022-01-01 01:53,45.00,40.00,8.00,30.00,29.64,0.00,4.00,OVC
MDW,2022-01-01 02:53,44.00,40.00,10.00,10.00,29.65,0.00,3.00,OVC
MDW,2022-01-01 03:53,44.00,39.00,7.00,360.00,29.68,0.00,1.75,OVC
MDW,2022-01-01 04:53,42.00,39.00,11.00,20.00,29.70,0.00,3.00,OVC
MDW,2022-01-01 05:53,42.00,37.00,12.00,10.00,29.71,0.00,6.00,OVC
MDW,2022-01-01 06:53,41.00,37.00,14.00,10.00,29.72,T,4.00,OVC
MDW,2022-01-01 07:53,40.00,36.00,8.00,10.00,29.75,T,4.00,OVC
MDW,2022-01-01 08:53,40.00,35.00,12.00,20.00,29.77,0.00,6.00,OVC
MDW,2022-01-01 09:53,40.00,34.00,13.00,20.00,29.76,0.00,10.00,OVC
MDW,2022-01-01 10:53,40.00,33.00,15.00,30.00,29.77,0.00,10.00,OVC
MDW,2022-01-01 11:53,40.00,33.00,16.00,30.00,29.79,T,10.00,OVC
MDW,2022-01-01 12:53,39.00,33.00,16.00,40.00,29.80,T,5.00,OVC
MDW,2022-01-01 13:53,39.00,32.00,20.00,30.00,29.84,T,10.00,OVC
MDW,2022-01-01 14:53,38.00,32.00,15.00,30.00,29.83,T,4.00,BKN
MDW,2022-01-01 15:53,37.00,30.90,15.00,20.00,29.85,T,10.00,OVC
MDW,2022-01-01 16:53,37.00,30.00,18.00,20.00,29.84,0.00,10.00,OVC
MDW,2022-01-01 17:53,37.00,28.90,17.00,20.00,29.82,0.00,10.00,OVC
MDW,2022-01-01 18:53,35.00,28.90,16.00,40.00,29.78,T,2.50,OVC
MDW,2022-01-01 19:53,33.00,28.90,17.00,30.00,29.78,T,0.75,OVC
MDW,2022-01-01 20:53,33.00,28.90,15.00,30.00,29.78,0.01,0.75,BKN
MDW,2022-01-01 21:53,32.00,28.00,15.00,30.00,29.79,T,0.75,OVC
MDW,2022-01-01 22:53,33.00,27.00,18.00,30.00,29.81,0.01,2.50,FEW
MDW,2022-01-01 23:53,32.00,27.00,18.00,30.00,29.84,T,1.00,VV 
MDW,2022-01-02 00:53,32.00,27.00,19.00,30.00,29.83,T,3.00,FEW
MDW,2022-01-02 01:53,32.00,26.10,18.00,20.00,29.84,T,3.00,SCT
MDW,2022-01-02 02:53,32.00,26.10,21.00,30.00,29.85,T,1.50,SCT
MDW,2022-01-02 03:53,32.00,27.00,15.00,30.00,29.85,T,2.50,BKN
MDW,2022-01-02 04:53,30.90,26.10,12.00,40.00,29.87,0.01,2.00,BKN
MDW,2022-01-02 05:53,32.00,26.10,15.00,40.00,29.89,T,4.00,SCT
MDW,2022-01-02 06:53,30.90,26.10,17.00,30.00,29.91,0.01,3.00,SCT
MDW,2022-01-02 07:53,26.10,21.90,17.00,340.00,29.95,T,3.00,BKN
MDW,2022-01-02 08:53,24.10,18.00,12.00,350.00,29.97,0.01,2.00,OVC
MDW,2022-01-02 09:53,24.10,19.00,12.00,340.00,29.97,T,10.00,BKN
MDW,2022-01-02 10:53,25.00,19.00,12.00,340.00,29.99,T,5.00,SCT
MDW,2022-01-02 11:53,24.10,18.00,10.00,340.00,30.02,T,6.00,OVC
MDW,2022-01-02 12:53,23.00,17.10,12.00,350.00,30.04,T,5.00,BKN
MDW,2022-01-02 13:53,21.90,16.00,11.00,330.00,30.10,T,9.00,OVC
MDW,2022-01-02 14:53,21.90,16.00,12.00,320.00,30.13,T,8.00,OVC
MDW,2022-01-02 15:53,23.00,16.00,10.00,340.00,30.15,T,7.00,BKN
MDW,2022-01-02 16:53,24.10,17.10,11.00,330.00,30.15,T,6.00,SCT
MDW,2022-01-02 17:53,26.10,18.00,12.00,320.00,30.14,T,10.00,FEW
MDW,2022-01-02 18:53,28.00,18.00,8.00,350.00,30.15,T,10.00,FEW
MDW,2022-01-02 19:53,28.90,18.00,7.00,320.00,30.17,0.00,10.00,FEW
MDW,2022-01-02 20:53,28.90,18.00,8.00,310.00,30.20,0.00,10.00,FEW
MDW,2022-01-02 21:53,28.00,17.10,6.00,320.00,30.22,0.00,10.00,FEW
MDW,2022-01-02 22:53,27.00,17.10,6.00,330.00,30.23,0.00,10.00,FEW
MDW,2022-01-02 23:53,26.10,16.00,6.00,310.00,30.24,0.00,10.00,FEW
MDW,2022-01-03 00:53,24.10,15.10,7.00,320.00,30.27,0.00,10.00,FEW
MDW,2022-01-03 01:53,21.90,12.90,10.00,320.00,30.28,0.00,10.00,FEW
MDW,2022-01-03 02:53,19.90,12.00,6.00,300.00,30.29,0.00,10.00,FEW
MDW,2022-01-03 03:53,18.00,10.00,6.00,300.00,30.29,0.00,10.00,FEW
MDW,2022-01-03 04:53,17.10,9.00,6.00,290.00,30.29,0.00,10.00,FEW
MDW,2022-01-03 05:53,16.00,8.10,7.00,300.00,30.30,0.00,10.00,FEW
MDW,2022-01-03 06:53,15.10,7.00,6.00,310.00,30.30,0.00,10.00,FEW
MDW,2022-01-03 07:53,14.00,6.00,5.00,300.00,30.31,0.00,10.00,CLR
MDW,2022-01-03 08:53,14.00,6.00,8.00,300.00,30.33,0.00,10.00,CLR
MDW,2022-01-03 09:53,12.90,6.00,3.00,300.00,30.34,0.00,10.00,CLR
MDW,2022-01-03 10:53,12.90,5.00,3.00,240.00,30.33,0.00,10.00,CLR
MDW,2022-01-03 11:53,12.00,5.00,4.00,240.00,30.33,0.00,10.00,CLR
MDW,2022-01-03 12:53,10.90,4.00,6.00,240.00,30.35,0.00,10.00,FEW
MDW,2022-01-03 13:53,10.90,4.00,6.00,230.00,30.35,0.00,10.00,FEW
MDW,2022-01-03 14:53,12.00,4.00,7.00,240.00,30.36,0.00,10.00,CLR
MDW,2022-01-03 15:53,14.00,4.00,7.00,230.00,30.38,0.00,10.00,CLR
MDW,2022-01-03 16:53,18.00,4.00,7.00,230.00,30.36,0.00,10.00,CLR
MDW,2022-01-03 17:53,19.90,1.00,9.00,230.00,30.35,0.00,10.00,FEW
MDW,2022-01-03 18:53,21.90,1.00,11.00,220.00,30.32,0.00,10.00,FEW
MDW,2022-01-03 19:53,23.00,7.00,9.00,190.00,30.31,0.00,10.00,FEW
MDW,2022-01-03 20:53,23.00,4.00,11.00,220.00,30.32,0.00,10.00,FEW
MDW,2022-01-03 21:53,21.90,6.00,11.00,210.00,30.32,0.00,10.00,FEW
MDW,2022-01-03 22:53,19.90,6.00,8.00,200.00,30.32,0.00,10.00,FEW
MDW,2022-01-03 23:53,19.90,7.00,6.00,200.00,30.31,0.00,10.00,FEW
