station,valid,tmpf,dwpf,sknt,drct,alti,p01i,skyc1
LAX,2026-01-01 00:53,59.00,55.00,9.00,60.00,29.97,null,OVC
LAX,2026-01-01 01:53,59.00,56.00,9.00,60.00,29.98,0.00,OVC
LAX,2026-01-01 02:53,58.00,56.00,10.00,60.00,29.99,0.00,BKN
LAX,2026-01-01 03:53,57.00,55.00,10.00,60.00,30.00,0.03,SCT
LAX,2026-01-01 04:53,57.00,55.00,10.00,60.00,30.01,0.02,FEW
LAX,2026-01-01 05:53,57.00,55.00,10.00,70.00,30.02,0.03,SCT
LAX,2026-01-01 06:53,57.00,56.00,8.00,80.00,30.02,0.01,SCT
LAX,2026-01-01 07:53,58.00,56.00,7.00,70.00,30.01,0.00,BKN
LAX,2026-01-01 08:53,57.00,56.00,9.00,70.00,29.99,0.00,SCT
LAX,2026-01-01 09:53,58.00,56.00,9.00,80.00,29.99,null,FEW
LAX,2026-01-01 10:53,57.00,56.00,7.00,90.00,30.00,0.11,FEW
LAX,2026-01-01 11:53,58.00,57.00,6.00,80.00,29.99,0.07,SCT
LAX,2026-01-01 12:53,58.00,57.00,8.00,90.00,29.98,0.08,FEW
LAX,2026-01-01 13:53,58.00,57.00,7.00,90.00,29.98,0.07,SCT
LAX,2026-01-01 14:53,59.00,58.00,5.00,100.00,29.99,0.25,SCT
LAX,2026-01-01 15:53,60.00,59.00,15.00,260.00,30.02,0.21,OVC
LAX,2026-01-01 16:53,61.00,59.00,12.00,250.00,30.05,0.04,FEW
LAX,2026-01-01 17:53,62.00,60.00,9.00,240.00,30.07,0.01,FEW
LAX,2026-01-01 18:53,63.00,59.00,8.00,240.00,30.07,0.00,FEW
LAX,2026-01-01 19:53,62.00,58.00,11.00,250.00,30.07,0.00,FEW
LAX,2026-01-01 20:53,64.00,58.00,6.00,240.00,30.05,0.00,SCT
LAX,2026-01-01 21:53,64.00,58.00,8.00,260.00,30.05,0.00,FEW
LAX,2026-01-01 22:53,63.00,57.00,6.00,260.00,30.06,0.00,FEW
LAX,2026-01-01 23:53,62.00,58.00,6.00,240.00,30.07,0.00,FEW
LAX,2026-01-02 00:53,61.00,57.00,5.00,230.00,30.06,0.00,FEW
LAX,2026-01-02 01:53,60.00,57.00,8.00,270.00,30.07,0.00,FEW
LAX,2026-01-02 02:53,60.00,56.00,5.00,290.00,30.08,0.00,FEW
LAX,2026-01-02 03:53,59.00,56.00,3.00,250.00,30.08,0.00,FEW
LAX,2026-01-02 04:53,59.00,58.00,4.00,10.00,30.09,0.00,FEW
LAX,2026-01-02 05:53,59.00,57.00,3.00,null,30.10,0.00,FEW
LAX,2026-01-02 06:53,58.00,56.00,3.00,100.00,30.10,0.00,FEW
LAX,2026-01-02 07:53,60.00,55.00,0.00,0.00,30.08,0.00,FEW
LAX,2026-01-02 08:53,56.00,53.00,3.00,90.00,30.08,0.00,FEW
LAX,2026-01-02 09:53,55.00,53.00,0.00,0.00,30.08,0.00,FEW
LAX,2026-01-02 10:53,54.00,52.00,0.00,0.00,30.07,0.00,FEW
LAX,2026-01-02 11:53,55.00,53.00,5.00,50.00,30.06,0.00,FEW
LAX,2026-01-02 12:53,56.00,52.00,3.00,40.00,30.05,0.00,FEW
LAX,2026-01-02 13:53,57.00,52.00,5.00,50.00,30.06,0.00,FEW
LAX,2026-01-02 14:53,57.00,52.00,4.00,80.00,30.06,0.00,FEW
LAX,2026-01-02 15:53,57.00,53.00,3.00,50.00,30.06,0.00,BKN
LAX,2026-01-02 16:53,60.00,53.00,8.00,30.00,30.07,0.00,BKN
LAX,2026-01-02 17:53,62.00,54.00,5.00,60.00,30.10,0.00,SCT
LAX,2026-01-02 18:53,64.00,56.00,6.00,90.00,30.09,0.00,SCT
LAX,2026-01-02 19:53,64.00,58.00,8.00,130.00,30.07,null,SCT
LAX,2026-01-02 20:53,62.00,60.00,8.00,70.00,30.04,0.02,SCT
LAX,2026-01-02 21:53,63.00,61.00,8.00,50.00,30.03,0.03,BKN
LAX,2026-01-02 22:53,63.00,62.00,7.00,90.00,30.02,0.01,OVC
LAX,2026-01-02 23:53,64.00,62.00,10.00,110.00,30.00,null,FEW
LAX,2026-01-03 00:53,64.00,62.00,9.00,110.00,30.03,0.00,FEW
LAX,2026-01-03 01:53,63.00,61.00,6.00,130.00,30.05,null,FEW
LAX,2026-01-03 02:53,63.00,61.00,7.00,160.00,30.05,0.04,SCT
LAX,2026-01-03 03:53,62.00,60.00,8.00,200.00,30.04,null,FEW
LAX,2026-01-03 04:53,61.00,58.00,5.00,220.00,30.06,null,FEW
LAX,2026-01-03 05:53,61.00,59.00,3.00,220.00,30.06,0.01,FEW
LAX,2026-01-03 06:53,61.00,58.00,3.00,230.00,30.06,0.00,FEW
LAX,2026-01-03 07:53,61.00,58.00,0.00,0.00,30.06,0.00,FEW
LAX,2026-01-03 08:53,60.00,58.00,0.00,0.00,30.06,0.00,FEW
LAX,2026-01-03 09:53,59.00,58.00,0.00,0.00,30.06,0.00,FEW
LAX,2026-01-03 10:53,56.00,56.00,3.00,70.00,30.05,0.00,FEW
LAX,2026-01-03 11:53,56.00,56.00,3.00,90.00,30.04,0.00,FEW
LAX,2026-01-03 12:53,57.00,57.00,5.00,80.00,30.03,0.00,FEW
LAX,2026-01-03 13:53,58.00,57.00,5.00,90.00,30.04,0.00,FEW
LAX,2026-01-03 14:53,58.00,57.00,5.00,110.00,30.04,0.00,SCT
LAX,2026-01-03 15:53,58.00,58.00,6.00,90.00,30.04,0.00,FEW
LAX,2026-01-03 16:53,60.00,58.00,6.00,100.00,30.06,0.00,SCT
LAX,2026-01-03 17:53,62.00,59.00,10.00,90.00,30.06,0.00,FEW
LAX,2026-01-03 18:53,62.00,57.00,5.00,90.00,30.06,0.00,FEW
LAX,2026-01-03 19:53,63.00,56.00,9.00,130.00,30.02,null,FEW
LAX,2026-01-03 20:53,63.00,55.00,12.00,130.00,29.97,0.00,FEW
LAX,2026-01-03 21:53,60.00,57.00,7.00,150.00,29.97,0.03,SCT
LAX,2026-01-03 22:53,58.00,56.00,8.00,110.00,29.97,0.10,SCT
LAX,2026-01-03 23:53,58.00,57.00,8.00,90.00,29.97,0.04,BKN
LAX,2026-01-04 00:53,59.00,57.00,11.00,110.00,29.96,0.03,BKN
LAX,2026-01-04 01:53,59.00,58.00,8.00,110.00,29.98,0.00,BKN
LAX,2026-01-04 02:53,58.00,58.00,4.00,70.00,29.98,0.03,BKN
LAX,2026-01-04 03:53,59.00,58.00,4.00,80.00,29.99,null,BKN
LAX,2026-01-04 04:53,59.00,58.00,4.00,30.00,30.00,0.00,BKN
LAX,2026-01-04 05:53,58.00,57.00,0.00,0.00,30.02,0.00,BKN
LAX,2026-01-04 06:53,59.00,56.00,0.00,0.00,30.03,0.00,BKN
LAX,2026-01-04 07:53,59.00,56.00,3.00,180.00,30.02,0.00,BKN
LAX,2026-01-04 08:53,58.00,57.00,3.00,110.00,30.03,0.00,FEW
LAX,2026-01-04 09:53,57.00,56.00,3.00,90.00,30.03,0.00,FEW
LAX,2026-01-04 10:53,57.00,56.00,0.00,0.00,30.00,0.00,FEW
LAX,2026-01-04 11:53,57.00,55.00,0.00,0.00,30.00,0.00,FEW
LAX,2026-01-04 12:53,57.00,56.00,4.00,240.00,30.01,0.00,BKN
LAX,2026-01-04 13:53,57.00,56.00,6.00,90.00,30.01,0.02,FEW
LAX,2026-01-04 14:53,56.00,55.00,0.00,0.00,30.02,0.00,FEW
LAX,2026-01-04 15:53,57.00,56.00,4.00,null,30.03,null,FEW
LAX,2026-01-04 16:53,57.00,56.00,4.00,120.00,30.05,0.02,SCT
LAX,2026-01-04 17:53,59.00,57.00,6.00,130.00,30.06,0.02,FEW
LAX,2026-01-04 18:53,60.00,57.00,7.00,110.00,30.05,0.00,FEW
LAX,2026-01-04 19:53,61.00,57.00,5.00,140.00,30.03,0.00,SCT
LAX,2026-01-04 20:53,61.00,56.00,8.00,180.00,30.01,0.00,FEW
LAX,2026-01-04 21:53,62.00,55.00,4.00,null,29.98,0.00,FEW
LAX,2026-01-04 22:53,61.00,55.00,10.00,200.00,29.99,0.00,SCT
LAX,2026-01-04 23:53,61.00,55.00,7.00,190.00,29.99,null,SCT
LAX,2026-01-05 00:53,59.00,56.00,0.00,0.00,29.98,0.07,BKN
LAX,2026-01-05 01:53,60.00,56.00,9.00,220.00,29.99,0.01,SCT
LAX,2026-01-05 02:53,59.00,54.00,8.00,290.00,30.00,0.10,FEW
LAX,2026-01-05 03:53,58.00,54.00,0.00,0.00,30.00,0.00,FEW
LAX,2026-01-05 04:53,58.00,55.00,4.00,80.00,30.01,0.00,FEW
LAX,2026-01-05 05:53,58.00,55.00,4.00,30.00,30.02,0.00,BKN
LAX,2026-01-05 06:53,58.00,54.00,3.00,null,30.02,0.00,FEW
LAX,2026-01-05 07:53,58.00,54.00,4.00,110.00,30.02,0.00,FEW
LAX,2026-01-05 08:53,56.00,55.00,4.00,70.00,30.01,0.00,FEW
LAX,2026-01-05 09:53,55.00,54.00,4.00,100.00,30.01,0.00,FEW
LAX,2026-01-05 10:53,55.00,54.00,4.00,20.00,30.02,0.00,FEW
LAX,2026-01-05 11:53,54.00,53.00,3.00,60.00,30.01,0.00,FEW
LAX,2026-01-05 12:53,54.00,54.00,3.00,70.00,30.02,0.00,BKN
LAX,2026-01-05 13:53,54.00,53.00,3.00,null,30.03,0.00,FEW
LAX,2026-01-05 14:53,54.00,52.00,3.00,90.00,30.05,0.00,FEW
LAX,2026-01-05 15:53,54.00,53.00,3.00,null,30.05,0.00,FEW
LAX,2026-01-05 16:53,57.00,54.00,7.00,100.00,30.08,0.00,FEW
LAX,2026-01-05 17:53,57.00,55.00,6.00,80.00,30.10,0.00,SCT
LAX,2026-01-05 18:53,60.00,54.00,4.00,120.00,30.11,0.00,SCT
