date,tmax_f,source
2022-01-01,54.20,open_meteo_gfs_seamless_historical_forecast
2022-01-02,56.70,open_meteo_gfs_seamless_historical_forecast
2022-01-03,36.50,open_meteo_gfs_seamless_historical_forecast
2022-01-04,33.80,open_meteo_gfs_seamless_historical_forecast
2022-01-05,44.70,open_meteo_gfs_seamless_historical_forecast
2022-01-06,38.80,open_meteo_gfs_seamless_historical_forecast
2022-01-07,33.30,open_meteo_gfs_seamless_historical_forecast
2022-01-08,29.40,open_meteo_gfs_seamless_historical_forecast
2022-01-09,38.90,open_meteo_gfs_seamless_historical_forecast
2022-01-10,39.00,open_meteo_gfs_seamless_historical_forecast
2022-01-11,25.20,open_meteo_gfs_seamless_historical_forecast
2022-01-12,39.70,open_meteo_gfs_seamless_historical_forecast
2022-01-13,46.40,open_meteo_gfs_seamless_historical_forecast
2022-01-14,41.90,open_meteo_gfs_seamless_historical_forecast
2022-01-15,23.90,open_meteo_gfs_seamless_historical_forecast
2022-01-16,33.30,open_meteo_gfs_seamless_historical_forecast
2022-01-17,41.90,open_meteo_gfs_seamless_historical_forecast
2022-01-18,36.10,open_meteo_gfs_seamless_historical_forecast
2022-01-19,49.10,open_meteo_gfs_seamless_historical_forecast
2022-01-20,44.70,open_meteo_gfs_seamless_historical_forecast
2022-01-21,24.90,open_meteo_gfs_seamless_historical_forecast
2022-01-22,29.00,open_meteo_gfs_seamless_historical_forecast
2022-01-23,36.60,open_meteo_gfs_seamless_historical_forecast
2022-01-24,32.30,open_meteo_gfs_seamless_historical_forecast
2022-01-25,41.80,open_meteo_gfs_seamless_historical_forecast
2022-01-26,29.70,open_meteo_gfs_seamless_historical_forecast
2022-01-27,31.50,open_meteo_gfs_seamless_historical_forecast
2022-01-28,32.90,open_meteo_gfs_seamless_historical_forecast
2022-01-29,28.50,open_meteo_gfs_seamless_historical_forecast
2022-01-30,24.50,open_meteo_gfs_seamless_historical_forecast
2022-01-31,30.50,open_meteo_gfs_seamless_historical_forecast
2022-02-01,35.40,open_meteo_gfs_seamless_historical_forecast
2022-02-02,45.20,open_meteo_gfs_seamless_historical_forecast
2022-02-03,46.40,open_meteo_gfs_seamless_historical_forecast
2022-02-04,54.60,open_meteo_gfs_seamless_historical_forecast
2022-02-05,27.30,open_meteo_gfs_seamless_historical_forecast
2022-02-06,30.60,open_meteo_gfs_seamless_historical_forecast
2022-02-07,37.10,open_meteo_gfs_seamless_historical_forecast
2022-02-08,45.10,open_meteo_gfs_seamless_historical_forecast
2022-02-09,45.00,open_meteo_gfs_seamless_historical_forecast
2022-02-10,54.00,open_meteo_gfs_seamless_historical_forecast
2022-02-11,56.90,open_meteo_gfs_seamless_historical_forecast
2022-02-12,59.80,open_meteo_gfs_seamless_historical_forecast
2022-02-13,43.90,open_meteo_gfs_seamless_historical_forecast
2022-02-14,25.60,open_meteo_gfs_seamless_historical_forecast
2022-02-15,30.70,open_meteo_gfs_seamless_historical_forecast
2022-02-16,43.30,open_meteo_gfs_seamless_historical_forecast
2022-02-17,66.00,open_meteo_gfs_seamless_historical_forecast
2022-02-18,61.70,open_meteo_gfs_seamless_historical_forecast
2022-02-19,40.60,open_meteo_gfs_seamless_historical_forecast
2022-02-20,36.10,open_meteo_gfs_seamless_historical_forecast
2022-02-21,54.50,open_meteo_gfs_seamless_historical_forecast
2022-02-22,56.40,open_meteo_gfs_seamless_historical_forecast
2022-02-23,68.70,open_meteo_gfs_seamless_historical_forecast
2022-02-24,36.10,open_meteo_gfs_seamless_historical_forecast
2022-02-25,39.40,open_meteo_gfs_seamless_historical_forecast
2022-02-26,36.00,open_meteo_gfs_seamless_historical_forecast
2022-02-27,47.90,open_meteo_gfs_seamless_historical_forecast
2022-02-28,35.80,open_meteo_gfs_seamless_historical_forecast
